Time,Normalized_Intensity,Fitted_Curve,Default_Curve
0,1.0425437075924917,0.2918012736112371,0.2918012736112371
1,1.0128274973998317,0.9653679948280525,0.8267380160533182
2,0.9855876380565598,0.9689170271934525,0.8359825203891939
3,0.993016690604725,0.9704895440575593,0.8400841585573762
4,0.9459660244663465,0.9714270047225458,0.8425306320235408
5,0.9954930414541133,0.972066778990091,0.8442007043627913
6,1.0177801990986084,0.972539049911427,0.8454337399759406
7,1.0276856024961618,0.9729061035563,0.8463921825328312
8,0.9781585855083949,0.9732019798626088,0.8471648360568671
9,1.00044574315289,0.9734470603624457,0.8478048838009815
10,0.9781585855083949,0.9736543923921761,0.8483463768313039
11,1.01530384824922,0.9738327670639559,0.848812261196458
12,1.0252092516467732,0.9739883526923334,0.8492186387156506
13,1.0177801990986084,0.9741256220802977,0.8495771862096827
14,1.007874795701055,0.9742479082185526,0.8498966054845103
15,1.0103511465504433,0.9743577524555986,0.8501835319134436
16,0.9707295329602299,0.9744571309233542,0.8504431253727421
17,0.9756822346590065,0.9745476065282743,0.8506794669474612
18,0.9781585855083949,0.9746304337989227,0.8508958326093724
19,1.0574018126888218,0.9747066329506786,0.8510948865561252
20,1.01530384824922,0.97477704330835,0.8512788206737857
21,0.9905403397553366,0.9748423625584262,0.8514494570119292
22,0.9979693923035016,0.9749031760690579,0.8516083243320995
23,0.9806349363577832,0.9749599791175384,0.8517567161414964
24,0.993016690604725,0.975013193967621,0.8518957352817067
25,0.9880639889059483,0.975063183150026,0.8520263286051234
26,1.0128274973998317,0.9751102599050653,0.8521493142422443
27,0.9905403397553366,0.9751546964772987,0.8522654032608893
28,1.0029220940022783,0.9751967307655796,0.8523752170313996
29,0.9682531821108415,0.9752365717004676,0.8524793012689518
30,0.9558714278638999,0.9752744036271722,0.8525781374792072
31,0.9756822346590065,0.9753103899043153,0.8526721523563346
32,1.0252092516467732,0.9753446758791087,0.8527617255527087
33,1.0128274973998317,0.9753773913627497,0.8528471961435367
34,1.0053984448516666,0.975408652702318,0.852928868037815
35,1.0425437075924917,0.9754385645246695,0.8530070145327435
36,0.9633004804120648,0.9754672212119785,0.8530818821673601
37,0.9434896736169581,0.9754947081564059,0.8531536939993649
38,0.928631568520628,0.9755211028319305,0.8532226524044677
39,0.9954930414541133,0.9755464757140216,0.8532889414783638
40,0.9954930414541133,0.9755708910720393,0.8533527291063248
41,0.993016690604725,0.9755944076546663,0.8534141687534323
42,0.9880639889059483,0.9756170792850295,0.8534734010189489
43,1.0252092516467732,0.9756389553792444,0.8535305549906956
44,0.9707295329602299,0.9756600813997617,0.8535857494291512
45,1.04502005844188,0.975680499252988,0.8536390938060083
46,0.9880639889059483,0.9757002476390985,0.8536906892178673
47,1.0128274973998317,0.9757193623606893,0.8537406291924303
48,0.9484423753157347,0.9757378765958765,0.8537890004018289
49,0.993016690604725,0.9757558211405769,0.8538358832954694
50,0.9682531821108415,0.9757732246240044,0.8538813526629121
51,1.0227329007973849,0.9757901137008073,0.8539254781357448
52,0.9880639889059483,0.9758065132227841,0.8539683246361156
